Sample,Date,Site,Diptera,Hymenoptera,Hemiptera,Coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Mecoptera,Blattodea,Trichoptera,Ephemeroptera,Zygentoma,Neuroptera
C135,8/14/2019,BAL,26,9,16,0,1,0,0,0,0,0,0,0,0,0
C136,8/14/2019,BAL,15,4,18,0,0,0,0,0,0,0,0,0,0,0
C137,8/14/2019,DAL,60,901,5,1,3,0,2,0,0,0,0,0,0,0
C138,8/14/2019,DAL,42,829,9,2,0,0,4,0,0,0,0,0,0,0
C139,8/14/2019,DAL,54,1333,7,0,2,0,1,0,0,0,0,0,0,0
C140,8/14/2019,DAL,113,1031,4,0,0,0,0,0,0,0,0,0,0,0
C156,8/22/2019,SSH,25,11,518,5,0,0,10,0,0,0,0,0,0,0
C157,8/22/2019,SSH,23,3,223,2,0,0,8,0,0,0,0,0,0,0
C158,8/22/2019,SSH,17,8,389,3,0,0,4,0,0,0,0,0,0,0
C159,8/22/2019,SSH,13,8,366,4,0,0,1,0,0,0,0,0,0,0
C160,8/22/2019,SSH,16,10,45,5,0,0,0,0,0,0,0,0,0,0
C161,8/22/2019,SSH,21,5,307,3,1,0,1,0,0,0,0,0,0,0
C168,8/22/2019,DGM,29,7,72,3,0,0,4,0,0,0,0,0,0,0
C169,8/22/2019,DGM,21,2,25,1,0,1,0,0,0,0,0,0,0,1
C170,8/22/2019,DGM,28,2,32,3,1,1,1,0,0,0,0,0,0,0
C171,8/22/2019,DGM,37,4,17,10,0,1,1,0,0,0,0,0,0,0
C172,8/22/2019,DGM,25,2,4,3,0,2,2,0,0,0,0,0,0,0
C173,8/22/2019,DGM,50,5,16,1,0,1,2,0,0,0,0,0,0,0
C174,8/22/2019,BFB,54,21,336,10,0,0,2,0,0,0,0,0,0,0
C175,8/22/2019,BFB,44,51,365,1,0,0,3,0,0,0,0,0,0,0
C176,8/22/2019,BFB,41,13,248,1,0,0,3,0,0,0,0,0,0,1
C177,8/22/2019,BFB,108,6,233,2,0,0,4,0,0,0,0,0,0,0
C178,8/22/2019,BFB,90,12,502,7,0,0,2,0,0,0,0,0,0,0
C179,8/22/2019,BFB,122,21,567,4,0,0,4,0,0,0,0,0,0,0
C180,6/13/2019,DGM,127,2,0,0,0,0,6,0,0,0,0,0,0,0
C181,6/13/2019,DGM,92,3,1,0,0,0,3,0,0,0,0,0,0,0
C182,6/13/2019,DGM,123,6,1,1,0,0,13,0,0,0,0,0,0,0
C183,6/13/2019,DGM,163,9,4,0,1,0,10,0,0,0,0,0,0,0
C184,6/13/2019,DGM,116,11,4,0,0,0,11,0,0,0,0,0,0,0
C185,6/13/2019,DGM,120,7,2,1,0,0,7,0,0,0,0,0,0,0
