Sample,Date,Replicate,Site,Syrphidae,Diptera,Formicidae,Apoidea,Ichneumonoidea,Chalcidoidea,Wingless parasitoid,Pompilidae,Dryinidae,Chrysididae,Unknown wasp,Miridae,Cicadellidae,Cercopidae,Membracidae,Aphididae,Aleyrodidae,Psyllidae,Anthocoridae,Tingidae,Fulgoroidae,Unknown Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Unknown Coleoptera,Elateridae,Buprestidae,Meloidae,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Mecoptera,Blattodea,Symphyta,Trichoptera,Ephemeroptera,Lepismatidae,Neuroptera
C24,6/13/2019,D,BFB,0,125,0,0,5,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
C26,6/13/2019,E,BFB,0,76,0,1,5,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0
C27,6/13/2019,F,BFB,2,104,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C29,6/13/2019,G,BFB,0,112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C36,6/13/2019,D,SSH,2,62,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
C38,6/13/2019,E,SSH,2,42,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C41,6/13/2019,F,SSH,3,48,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C48,6/20/2019,A,DAL,1,27,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C51,6/20/2019,B,DAL,2,29,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0
C55,6/20/2019,A,BAL,2,43,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57,6/20/2019,B,BAL,5,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49,6/20/2019,C,DAL,2,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C50,6/20/2019,D,DAL,1,28,0,0,1,0,0,0,0,0,0,0,4,0,0,5,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0
C52,6/20/2019,A,CHA,2,24,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C53,6/20/2019,B,CHA,1,30,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C54,6/20/2019,C,CHA,2,22,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C56,6/20/2019,C,BAL,0,33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C58,7/10/2019,A,SNY,1,32,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C59,7/10/2019,B,SNY,0,18,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C60,7/10/2019,C,SNY,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C61,7/10/2019,D,SNY,0,21,0,1,0,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C63,7/10/2019,A,WPR,0,27,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
C64,7/10/2019,B,WPR,0,6,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C65,7/10/2019,C,WPR,0,22,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C67,7/10/2019,A,WLR,0,33,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
C62,7/10/2019,D,WPR,0,15,1,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0
C66,7/10/2019,B,WLR,0,24,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
C68,7/10/2019,C,WLR,0,38,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C69,7/10/2019,D,WLR,2,31,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
C73,7/18/2019,A,DGM,0,74,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
C75,7/18/2019,B,DGM,0,54,0,0,0,3,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
C77,7/18/2019,C,DGM,0,58,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
C74,7/18/2019,D,DGM,0,57,0,1,4,4,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C76,7/18/2019,E,DGM,1,47,0,0,0,2,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
C78,7/18/2019,F,DGM,0,56,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1
C79,7/25/2019,A,CHA,0,27,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
C80,7/25/2019,B,CHA,0,30,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
C81,7/25/2019,C,CHA,0,29,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
C82,7/25/2019,A,BAL,0,39,0,0,5,16,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,1,1,0,0
C83,7/25/2019,B,BAL,0,119,0,0,1,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
C84,7/25/2019,C,BAL,0,60,0,0,2,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,3,0,0
C85,7/25/2019,A,DAL,1,144,0,0,1,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,7,0,0,4,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
C86,7/25/2019,B,DAL,0,111,0,0,0,7,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,0,1,0,6,0,0,0,0,0,0,0,0
C87,7/25/2019,C,DAL,0,82,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,2,1,0,0,2,0,3,0,0,0,0,0,0,0,0
C88,7/25/2019,D,DAL,1,168,0,0,3,7,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0
C89,8/8/2019,A,WPR,0,20,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
C90,8/8/2019,B,WPR,0,11,0,0,4,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C91,8/8/2019,C,WPR,0,13,0,0,2,10,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
C92,8/8/2019,D,WPR,0,10,0,0,2,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0
C93,8/8/2019,A,WLR,0,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C94,8/8/2019,B,WLR,0,7,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
C95,8/8/2019,C,WLR,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C96,8/8/2019,D,WLR,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
C97,8/8/2019,A,SNY,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
C98,8/8/2019,B,SNY,0,11,0,0,2,7,0,0,0,0,2,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C99,8/8/2019,C,SNY,0,9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
C100,8/8/2019,D,SNY,0,11,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C101,7/18/2019,A,SSH,0,32,0,0,1,4,0,0,0,0,0,0,2,0,0,11,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0
C102,7/18/2019,B,SSH,3,47,0,0,2,5,0,0,0,0,0,0,2,0,0,4,5,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
C103,7/18/2019,C,SSH,1,63,0,0,2,4,0,0,0,0,0,0,6,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0
C104,7/18/2019,D,SSH,1,27,0,0,3,7,0,0,1,0,1,0,5,0,0,8,2,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
C105,7/18/2019,E,SSH,0,36,0,0,1,5,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
C106,7/18/2019,F,SSH,1,65,1,1,1,8,0,0,0,0,0,0,2,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0
C119,7/18/2019,A,BFB,0,218,0,0,0,3,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C120,7/18/2019,B,BFB,0,247,0,0,0,2,0,0,0,0,0,0,2,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
C121,7/18/2019,C,BFB,0,84,0,0,2,7,0,0,0,0,0,0,4,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0
C122,7/18/2019,D,BFB,0,122,0,0,1,13,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0
C123,7/18/2019,E,BFB,0,165,0,1,2,4,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
C124,7/18/2019,F,BFB,0,205,0,2,1,6,0,0,0,0,0,0,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C131,8/14/2019,A,CHA,0,14,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
C132,8/14/2019,B,CHA,0,10,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
C133,8/14/2019,C,CHA,0,17,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
C134,8/14/2019,A,BAL,0,28,0,0,1,7,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
C135,8/14/2019,B,BAL,0,26,0,0,3,6,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C136,8/14/2019,C,BAL,0,15,0,0,1,3,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C137,8/14/2019,A,DAL,0,60,0,0,0,901,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
C138,8/14/2019,B,DAL,0,42,0,0,1,828,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
C139,8/14/2019,C,DAL,1,53,0,0,0,1333,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
C140,8/14/2019,D,DAL,0,113,0,0,1,1030,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C156,8/22/2019,A,SSH,0,25,0,0,1,10,0,0,0,0,0,0,2,0,0,508,8,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0
C157,8/22/2019,B,SSH,0,23,0,1,0,2,0,0,0,0,0,0,1,0,0,212,9,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
C158,8/22/2019,C,SSH,0,17,0,0,2,6,0,0,0,0,0,0,0,0,0,378,8,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
C159,8/22/2019,D,SSH,0,13,0,0,1,7,0,0,0,0,0,0,1,0,0,362,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C160,8/22/2019,E,SSH,0,16,0,0,0,9,0,0,0,0,1,0,2,0,0,40,2,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C161,8/22/2019,F,SSH,0,21,0,0,1,4,0,0,0,0,0,0,3,0,0,299,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
C168,8/22/2019,A,DGM,0,29,0,1,0,6,0,0,0,0,0,0,4,1,0,65,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
C169,8/22/2019,B,DGM,0,21,0,1,0,1,0,0,0,0,0,0,3,0,0,19,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
C170,8/22/2019,C,DGM,0,28,0,0,0,2,0,0,0,0,0,0,2,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
C171,8/22/2019,D,DGM,0,37,0,0,0,4,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
C172,8/22/2019,E,DGM,0,25,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
C173,8/22/2019,F,DGM,0,50,0,0,0,5,0,0,0,0,0,0,1,0,0,10,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
C174,8/22/2019,A,BFB,0,54,0,0,3,18,0,0,0,0,0,0,0,1,0,326,8,0,0,0,1,0,0,0,4,0,0,0,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
C175,8/22/2019,B,BFB,0,44,0,0,7,44,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
C176,8/22/2019,C,BFB,0,41,0,0,3,10,0,0,0,0,0,0,1,0,0,235,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1
C177,8/22/2019,D,BFB,0,108,0,0,2,4,0,0,0,0,0,0,1,0,0,228,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
C178,8/22/2019,E,BFB,0,90,0,0,4,8,0,0,0,0,0,0,1,1,0,494,6,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
C179,8/22/2019,F,BFB,0,122,0,0,3,18,0,0,0,0,0,0,0,0,0,563,4,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
C180,6/13/2019,A,DGM,0,127,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
C181,6/13/2019,B,DGM,0,92,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
C182,6/13/2019,C,DGM,2,121,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
C183,6/13/2019,D,DGM,1,162,0,0,0,9,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0
C184,6/13/2019,E,DGM,0,116,0,0,1,10,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
C185,6/13/2019,F,DGM,0,120,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
