Sample,Date,Site,Diptera,Hymenoptera,Hemiptera,Coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Mecoptera,Blattodea,Trichoptera,Ephemeroptera,Zygentoma,Neuroptera
R72,8/8/2019,SNY,5,,9,1,0,1,0,0,0,0,0,0,0,0
R73,8/22/2019,SSH,3,,2,0,0,0,0,0,0,0,0,0,0,0
R74,8/22/2019,SSH,4,,5,0,0,0,1,0,0,0,0,0,0,1
R75,8/22/2019,SSH,10,,4,0,0,0,1,0,0,0,0,0,0,0
R76,8/22/2019,DGM,5,,4,1,0,0,0,0,0,0,0,0,0,0
R77,8/22/2019,DGM,1,,0,0,0,1,0,0,0,0,0,0,0,0
R78,8/22/2019,DGM,1,,3,1,0,0,0,0,0,0,0,0,0,0
R79,8/22/2019,BFB,13,,13,0,0,0,0,0,0,0,0,0,0,0
R80,8/22/2019,BFB,8,,21,1,0,1,0,0,0,0,0,0,0,0
R81,8/22/2019,BFB,23,,16,1,2,1,1,0,0,0,0,0,0,1
R93,8/14/2019,DAL,56,,20,2,1,0,0,0,1,0,0,0,0,0
R94,8/14/2019,DAL,107,,18,1,3,0,0,0,0,0,0,0,0,0
R95,8/14/2019,DAL,1,,9,0,2,0,0,0,0,0,0,0,0,0
R96,8/14/2019,BAL,10,,0,0,0,1,1,0,0,0,0,0,0,0
R97,8/14/2019,BAL,9,,7,0,0,0,0,0,0,0,0,0,0,0
R98,8/14/2019,CHA,14,,1,0,0,0,0,0,0,0,0,0,0,0
R99,8/14/2019,CHA,9,,4,0,0,0,0,0,0,0,0,0,0,0
