Sample,Date,Replicate,Site,Diptera,Hymenoptera,Hemiptera,Coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Mecoptera,Blattodea,Trichoptera,Ephemeroptera,Zygentoma,Neuroptera
C80,7/25/2019,B,CHA,30,9,0,0,1,0,4,0,0,0,0,0,0,0
C81,7/25/2019,C,CHA,29,8,1,0,0,0,13,0,0,0,0,0,0,0
C82,7/25/2019,A,BAL,39,21,19,5,1,0,9,0,0,0,1,1,0,0
C83,7/25/2019,B,BAL,119,19,10,0,0,0,2,0,0,0,0,0,0,0
C84,7/25/2019,C,BAL,60,8,3,3,1,0,4,0,0,0,0,3,0,0
C85,7/25/2019,A,DAL,145,16,2,19,1,0,2,0,0,0,0,0,0,0
C86,7/25/2019,B,DAL,111,7,4,5,1,0,6,0,0,0,0,0,0,0
C87,7/25/2019,C,DAL,82,4,1,8,2,0,3,0,0,0,0,0,0,0
C88,7/25/2019,D,DAL,169,10,9,5,5,0,2,0,0,0,0,0,0,0
C89,8/8/2019,A,WPR,20,11,3,1,0,2,3,0,0,0,0,0,0,0
C90,8/8/2019,B,WPR,11,16,2,2,0,0,0,0,0,0,0,0,0,0
C91,8/8/2019,C,WPR,13,12,7,1,0,0,1,1,0,0,1,0,0,0
C92,8/8/2019,D,WPR,10,8,2,1,0,0,3,2,0,0,0,0,0,0
C93,8/8/2019,A,WLR,12,5,0,0,0,0,0,1,0,0,0,0,0,0
C94,8/8/2019,B,WLR,7,8,3,0,0,0,2,2,0,0,0,0,0,0
C95,8/8/2019,C,WLR,4,2,1,0,0,0,0,1,0,0,0,0,0,0
C96,8/8/2019,D,WLR,3,5,2,0,0,0,1,1,0,0,0,0,0,0
C97,8/8/2019,A,SNY,9,5,2,0,0,0,3,1,0,0,0,0,0,0
C98,8/8/2019,B,SNY,11,11,7,0,0,0,0,1,0,0,0,0,0,0
C99,8/8/2019,C,SNY,9,4,0,0,0,0,1,1,0,0,0,0,0,0
C100,8/8/2019,D,SNY,11,2,2,2,0,0,0,1,0,0,0,0,0,0
C101,7/18/2019,A,SSH,32,5,21,0,0,0,6,0,0,0,0,0,0,0
C102,7/18/2019,B,SSH,50,7,18,2,0,0,4,0,0,0,0,0,0,0
C103,7/18/2019,C,SSH,64,6,26,0,1,0,10,0,0,0,0,0,0,0
C104,7/18/2019,D,SSH,28,12,20,1,0,0,8,0,0,0,0,0,0,0
C105,7/18/2019,E,SSH,36,6,11,0,0,0,3,1,0,0,0,0,0,0
C106,7/18/2019,F,SSH,66,11,18,0,0,0,2,1,0,0,0,0,0,0
C119,7/18/2019,A,BFB,218,3,7,5,0,0,0,0,0,0,0,0,0,0
C120,7/18/2019,B,BFB,247,2,14,2,0,0,2,0,0,0,0,0,0,0
C121,7/18/2019,C,BFB,84,9,14,2,0,0,6,0,0,0,0,0,0,0
C122,7/18/2019,D,BFB,122,14,5,1,1,0,2,0,0,0,0,0,0,0
C123,7/18/2019,E,BFB,165,7,5,1,0,0,4,0,0,0,0,0,0,0
C124,7/18/2019,F,BFB,205,9,9,2,0,0,1,0,0,0,0,0,0,0
C131,8/14/2019,A,CHA,14,5,2,0,1,0,1,0,0,0,0,0,0,0
C132,8/14/2019,B,CHA,10,2,2,0,0,0,2,0,0,0,0,0,0,0
C133,8/14/2019,C,CHA,17,3,2,1,3,0,3,0,0,0,0,0,0,0
C134,8/14/2019,A,BAL,28,8,10,1,2,0,0,0,0,0,0,0,0,0
C135,8/14/2019,B,BAL,26,9,16,0,1,0,0,0,0,0,0,0,0,0
C136,8/14/2019,C,BAL,15,4,18,0,0,0,0,0,0,0,0,0,0,0
C137,8/14/2019,A,DAL,60,901,5,1,3,0,2,0,0,0,0,0,0,0
C138,8/14/2019,B,DAL,42,829,9,2,0,0,4,0,0,0,0,0,0,0
C139,8/14/2019,C,DAL,54,1333,7,0,2,0,1,0,0,0,0,0,0,0
C140,8/14/2019,D,DAL,113,1031,4,0,0,0,0,0,0,0,0,0,0,0
C156,8/22/2019,A,SSH,25,11,518,5,0,0,10,0,0,0,0,0,0,0
C157,8/22/2019,B,SSH,23,3,223,2,0,0,8,0,0,0,0,0,0,0
C158,8/22/2019,C,SSH,17,8,389,3,0,0,4,0,0,0,0,0,0,0
C159,8/22/2019,D,SSH,13,8,366,4,0,0,1,0,0,0,0,0,0,0
C160,8/22/2019,E,SSH,16,10,45,5,0,0,0,0,0,0,0,0,0,0
C161,8/22/2019,F,SSH,21,5,307,3,1,0,1,0,0,0,0,0,0,0
C168,8/22/2019,A,DGM,29,7,72,3,0,0,4,0,0,0,0,0,0,0
C169,8/22/2019,B,DGM,21,2,25,1,0,1,0,0,0,0,0,0,0,1
C170,8/22/2019,C,DGM,28,2,32,3,1,1,1,0,0,0,0,0,0,0
C171,8/22/2019,D,DGM,37,4,17,10,0,1,1,0,0,0,0,0,0,0
C172,8/22/2019,E,DGM,25,2,4,3,0,2,2,0,0,0,0,0,0,0
C173,8/22/2019,F,DGM,50,5,16,1,0,1,2,0,0,0,0,0,0,0
C174,8/22/2019,A,BFB,54,21,336,10,0,0,2,0,0,0,0,0,0,0
C175,8/22/2019,B,BFB,44,51,365,1,0,0,3,0,0,0,0,0,0,0
C176,8/22/2019,C,BFB,41,13,248,1,0,0,3,0,0,0,0,0,0,1
C177,8/22/2019,D,BFB,108,6,233,2,0,0,4,0,0,0,0,0,0,0
C178,8/22/2019,E,BFB,90,12,502,7,0,0,2,0,0,0,0,0,0,0
C179,8/22/2019,F,BFB,122,21,567,4,0,0,4,0,0,0,0,0,0,0
C180,6/13/2019,A,DGM,127,2,0,0,0,0,6,0,0,0,0,0,0,0
C181,6/13/2019,B,DGM,92,3,1,0,0,0,3,0,0,0,0,0,0,0
C182,6/13/2019,C,DGM,123,6,1,1,0,0,13,0,0,0,0,0,0,0
C183,6/13/2019,D,DGM,163,9,4,0,1,0,10,0,0,0,0,0,0,0
C184,6/13/2019,E,DGM,116,11,4,0,0,0,11,0,0,0,0,0,0,0
C185,6/13/2019,F,DGM,120,7,2,1,0,0,7,0,0,0,0,0,0,0
